2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=16 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=16 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.025700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=17 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.003900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=17 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.030100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=17 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.053100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=18 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=18 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=18 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.008400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=19 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.007900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=19 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.045300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=19 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.072200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=20 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001500
